threshold,tp,fn,tn,fp,precision,sensitivity,specificity,fscore,youden,matthews,balanced_accuracy,standard_accuracy
0.2,230,15,31,74,0.756578947368421,0.9387755102040817,0.29523809523809524,0.8378870673952642,0.23401360544217686,0.31739720051067344,0.6170068027210884,0.7
0.21000000000000002,229,16,31,74,0.7557755775577558,0.9346938775510204,0.29523809523809524,0.8357664233576643,0.2299319727891156,0.30903439192541743,0.6149659863945578,0.7
0.22000000000000003,228,17,33,72,0.76,0.9306122448979591,0.3142857142857143,0.8366972477064221,0.2448979591836733,0.32071349029490925,0.6224489795918366,0.7
0.23000000000000004,228,17,33,72,0.76,0.9306122448979591,0.3142857142857143,0.8366972477064221,0.2448979591836733,0.32071349029490925,0.6224489795918366,0.7
0.24000000000000005,226,19,33,72,0.7583892617449665,0.9224489795918367,0.3142857142857143,0.8324125230202578,0.23673469387755097,0.305021039681811,0.6183673469387755,0.7
0.25000000000000006,226,19,33,72,0.7583892617449665,0.9224489795918367,0.3142857142857143,0.8324125230202578,0.23673469387755097,0.305021039681811,0.6183673469387755,0.7
0.26000000000000006,226,19,34,71,0.7609427609427609,0.9224489795918367,0.3238095238095238,0.8339483394833949,0.24625850340136046,0.3148130797916506,0.6231292517006802,0.7
0.2700000000000001,225,20,34,71,0.7601351351351351,0.9183673469387755,0.3238095238095238,0.8317929759704251,0.2421768707482994,0.30723282874503777,0.6210884353741497,0.7
0.2800000000000001,225,20,38,67,0.7705479452054794,0.9183673469387755,0.3619047619047619,0.8379888268156425,0.28027210884353737,0.345423714869377,0.6401360544217687,0.7
0.2900000000000001,223,22,41,64,0.7770034843205574,0.9102040816326531,0.3904761904761905,0.8383458646616542,0.3006802721088435,0.358650469110977,0.6503401360544218,0.7
0.3000000000000001,222,23,44,61,0.784452296819788,0.9061224489795918,0.41904761904761906,0.8409090909090909,0.32517006802721093,0.3787543544044186,0.6625850340136055,0.7
0.3100000000000001,221,24,45,60,0.7864768683274022,0.9020408163265307,0.42857142857142855,0.8403041825095058,0.33061224489795915,0.3808192741383643,0.6653061224489796,0.7
0.3200000000000001,220,25,46,59,0.7885304659498208,0.8979591836734694,0.4380952380952381,0.8396946564885496,0.33605442176870737,0.3829623062812209,0.6680272108843537,0.7
0.3300000000000001,219,26,48,57,0.7934782608695652,0.8938775510204081,0.45714285714285713,0.8406909788867563,0.3510204081632653,0.3939486873173288,0.6755102040816326,0.7
0.34000000000000014,216,29,48,57,0.7912087912087912,0.8816326530612245,0.45714285714285713,0.833976833976834,0.3387755102040817,0.37476844230717254,0.6693877551020408,0.7
0.35000000000000014,212,33,48,57,0.7881040892193308,0.8653061224489796,0.45714285714285713,0.8249027237354086,0.3224489795918368,0.3503644625019108,0.6612244897959184,0.7
0.36000000000000015,210,35,49,56,0.7894736842105263,0.8571428571428571,0.4666666666666667,0.8219178082191781,0.32380952380952377,0.3474456257081473,0.6619047619047619,0.7
0.37000000000000016,205,40,51,54,0.7915057915057915,0.8367346938775511,0.4857142857142857,0.8134920634920635,0.3224489795918368,0.33687448642909806,0.6612244897959184,0.7
0.38000000000000017,203,42,54,51,0.7992125984251969,0.8285714285714286,0.5142857142857142,0.8136272545090181,0.34285714285714297,0.35215869722540727,0.6714285714285715,0.7
0.3900000000000002,202,43,54,51,0.7984189723320159,0.8244897959183674,0.5142857142857142,0.8112449799196788,0.3387755102040817,0.3468514960152704,0.6693877551020408,0.7
0.4000000000000002,198,47,59,46,0.8114754098360656,0.8081632653061225,0.5619047619047619,0.8098159509202454,0.3700680272108845,0.36907226564182805,0.6850340136054422,0.7
0.4100000000000002,197,48,60,45,0.8140495867768595,0.8040816326530612,0.5714285714285714,0.8090349075975359,0.3755102040816327,0.3725459735748946,0.6877551020408164,0.7
0.4200000000000002,193,52,65,40,0.8283261802575107,0.7877551020408163,0.6190476190476191,0.807531380753138,0.4068027210884355,0.39517608063356674,0.7034013605442178,0.7
0.4300000000000002,189,56,67,38,0.8325991189427313,0.7714285714285715,0.638095238095238,0.8008474576271187,0.4095238095238094,0.3930894281164907,0.7047619047619047,0.7
0.4400000000000002,186,59,69,36,0.8378378378378378,0.7591836734693878,0.6571428571428571,0.7965738758029979,0.416326530612245,0.39612322582576504,0.7081632653061225,0.7
0.45000000000000023,181,64,71,34,0.8418604651162791,0.7387755102040816,0.6761904761904762,0.7869565217391304,0.41496598639455784,0.3906646164439815,0.7074829931972789,0.7
0.46000000000000024,179,66,72,33,0.8443396226415094,0.7306122448979592,0.6857142857142857,0.7833698030634573,0.416326530612245,0.3903950527339061,0.7081632653061225,0.7
0.47000000000000025,178,67,72,33,0.8436018957345972,0.726530612244898,0.6857142857142857,0.780701754385965,0.41224489795918373,0.3860862663028702,0.7061224489795919,0.7
0.48000000000000026,176,69,72,33,0.8421052631578947,0.7183673469387755,0.6857142857142857,0.775330396475771,0.4040816326530612,0.3775409832706274,0.7020408163265306,0.7
0.49000000000000027,171,74,72,33,0.8382352941176471,0.6979591836734694,0.6857142857142857,0.7616926503340757,0.38367346938775526,0.3565725848803393,0.6918367346938776,0.7
0.5000000000000002,168,77,72,33,0.835820895522388,0.6857142857142857,0.6857142857142857,0.7533632286995516,0.37142857142857144,0.3442403992404111,0.6857142857142857,0.7
0.5100000000000002,168,77,73,32,0.84,0.6857142857142857,0.6952380952380952,0.7550561797752808,0.38095238095238093,0.3527668414752787,0.6904761904761905,0.7
0.5200000000000002,167,78,74,31,0.8434343434343434,0.6816326530612244,0.7047619047619048,0.7539503386004514,0.38639455782312915,0.3572352479163618,0.6931972789115646,0.7
0.5300000000000002,165,80,75,30,0.8461538461538461,0.673469387755102,0.7142857142857143,0.75,0.3877551020408163,0.35772727794810427,0.6938775510204082,0.7
0.5400000000000003,163,82,76,29,0.8489583333333334,0.6653061224489796,0.7238095238095238,0.745995423340961,0.3891156462585035,0.3583250976807071,0.6945578231292517,0.7
0.5500000000000003,161,84,77,28,0.8518518518518519,0.6571428571428571,0.7333333333333333,0.7419354838709677,0.3904761904761904,0.35902807395336805,0.6952380952380952,0.7
0.5600000000000003,159,86,80,25,0.8641304347826086,0.6489795918367347,0.7619047619047619,0.7412587412587412,0.41088435374149657,0.377080730775934,0.7054421768707483,0.7
0.5700000000000003,156,89,80,25,0.861878453038674,0.636734693877551,0.7619047619047619,0.732394366197183,0.39863945578231297,0.3655740274054939,0.6993197278911565,0.7
0.5800000000000003,154,91,81,24,0.8651685393258427,0.6285714285714286,0.7714285714285715,0.7281323877068557,0.3999999999999999,0.3666599361173687,0.7,0.7
0.5900000000000003,150,95,82,23,0.8670520231213873,0.6122448979591837,0.780952380952381,0.7177033492822966,0.39319727891156475,0.360394795487798,0.6965986394557824,0.7
0.6000000000000003,149,96,83,22,0.8713450292397661,0.6081632653061224,0.7904761904761904,0.7163461538461537,0.39863945578231297,0.3654545743806719,0.6993197278911565,0.7
0.6100000000000003,145,100,84,21,0.8734939759036144,0.5918367346938775,0.8,0.705596107055961,0.3918367346938776,0.35960016709757947,0.6959183673469388,0.7
0.6200000000000003,144,101,84,21,0.8727272727272727,0.5877551020408164,0.8,0.7024390243902439,0.38775510204081653,0.3559650638912851,0.6938775510204083,0.7
0.6300000000000003,142,103,84,21,0.8711656441717791,0.5795918367346938,0.8,0.696078431372549,0.379591836734694,0.34872248470196315,0.689795918367347,0.7
0.6400000000000003,140,105,84,21,0.8695652173913043,0.5714285714285714,0.8,0.689655172413793,0.37142857142857144,0.34151450937027694,0.6857142857142857,0.7
0.6500000000000004,139,106,85,20,0.8742138364779874,0.5673469387755102,0.8095238095238095,0.6881188118811882,0.37687074829931966,0.3468605240544837,0.6884353741496598,0.7
0.6600000000000004,135,110,85,20,0.8709677419354839,0.5510204081632653,0.8095238095238095,0.6749999999999999,0.3605442176870748,0.3326236093201671,0.6802721088435374,0.7
0.6700000000000004,133,112,85,20,0.869281045751634,0.5428571428571428,0.8095238095238095,0.6683417085427136,0.35238095238095246,0.32554519396422626,0.6761904761904762,0.7
0.6800000000000004,131,114,85,20,0.8675496688741722,0.5346938775510204,0.8095238095238095,0.6616161616161615,0.3442176870748299,0.31849004482211213,0.672108843537415,0.7
0.6900000000000004,127,118,86,19,0.8698630136986302,0.5183673469387755,0.819047619047619,0.649616368286445,0.33741496598639453,0.31358156400824166,0.6687074829931973,0.7
0.7000000000000004,122,123,86,19,0.8652482269503546,0.49795918367346936,0.819047619047619,0.6321243523316062,0.3170068027210884,0.2961853505119737,0.6585034013605442,0.7
0.7100000000000004,121,124,86,19,0.8642857142857143,0.49387755102040815,0.819047619047619,0.6285714285714287,0.3129251700680271,0.29271469352313145,0.6564625850340136,0.7
0.7200000000000004,119,126,87,18,0.8686131386861314,0.4857142857142857,0.8285714285714286,0.6230366492146597,0.3142857142857143,0.2950884744821128,0.6571428571428571,0.7
0.7300000000000004,117,128,88,17,0.8731343283582089,0.4775510204081633,0.8380952380952381,0.6174142480211082,0.31564625850340144,0.29757679554774874,0.6578231292517007,0.7
0.7400000000000004,115,130,88,17,0.8712121212121212,0.46938775510204084,0.8380952380952381,0.610079575596817,0.3074829931972789,0.29072580342717,0.6537414965986394,0.7
0.7500000000000004,114,131,89,16,0.8769230769230769,0.46530612244897956,0.8476190476190476,0.608,0.3129251700680271,0.2967803701031928,0.6564625850340136,0.7
0.7600000000000005,110,135,90,15,0.88,0.4489795918367347,0.8571428571428571,0.5945945945945946,0.30612244897959173,0.29277002188455997,0.6530612244897959,0.7
0.7700000000000005,109,136,91,14,0.8861788617886179,0.4448979591836735,0.8666666666666667,0.592391304347826,0.31156462585034017,0.299061392155071,0.6557823129251701,0.7
0.7800000000000005,105,140,92,13,0.8898305084745762,0.42857142857142855,0.8761904761904762,0.578512396694215,0.3047619047619048,0.29542917036229616,0.6523809523809524,0.7
0.7900000000000005,98,147,93,12,0.8909090909090909,0.4,0.8857142857142857,0.5521126760563381,0.2857142857142856,0.2820380374088831,0.6428571428571428,0.7
0.8000000000000005,94,151,93,12,0.8867924528301887,0.3836734693877551,0.8857142857142857,0.5356125356125356,0.2693877551020407,0.2686628992539778,0.6346938775510204,0.7
0.8100000000000005,93,152,93,12,0.8857142857142857,0.3795918367346939,0.8857142857142857,0.5314285714285714,0.26530612244897966,0.2653061224489796,0.6326530612244898,0.7
0.8200000000000005,90,155,97,8,0.9183673469387755,0.3673469387755102,0.9238095238095239,0.5247813411078717,0.291156462585034,0.2971603202696146,0.645578231292517,0.7
0.8300000000000005,85,160,98,7,0.9239130434782609,0.3469387755102041,0.9333333333333333,0.5044510385756676,0.28027210884353737,0.2917788487203606,0.6401360544217687,0.7
0.8400000000000005,80,165,98,7,0.9195402298850575,0.32653061224489793,0.9333333333333333,0.48192771084337344,0.2598639455782312,0.27554099308498997,0.6299319727891156,0.7
0.8500000000000005,75,170,98,7,0.9146341463414634,0.30612244897959184,0.9333333333333333,0.4587155963302752,0.23945578231292508,0.2590769032239478,0.6197278911564625,0.7
0.8600000000000005,70,175,99,6,0.9210526315789473,0.2857142857142857,0.9428571428571428,0.4361370716510904,0.22857142857142865,0.2540490392219968,0.6142857142857143,0.7
0.8700000000000006,63,182,99,6,0.9130434782608695,0.2571428571428571,0.9428571428571428,0.40127388535031844,0.19999999999999996,0.23037215349110926,0.6,0.7
0.8800000000000006,59,186,100,5,0.921875,0.24081632653061225,0.9523809523809523,0.3818770226537217,0.19319727891156457,0.22903702475355092,0.5965986394557823,0.7
0.8900000000000006,54,191,102,3,0.9473684210526315,0.22040816326530613,0.9714285714285714,0.35761589403973504,0.19183673469387763,0.23808839495071596,0.5959183673469388,0.7
0.9000000000000006,51,194,103,2,0.9622641509433962,0.20816326530612245,0.9809523809523809,0.3422818791946309,0.1891156462585033,0.2417625308897206,0.5945578231292517,0.7
0.9100000000000006,47,198,103,2,0.9591836734693877,0.19183673469387755,0.9809523809523809,0.31972789115646255,0.17278911564625843,0.22819850021092697,0.5863945578231292,0.7
0.9200000000000006,39,206,104,1,0.975,0.15918367346938775,0.9904761904761905,0.2736842105263158,0.14965986394557818,0.21556199545914564,0.5748299319727891,0.7
0.9300000000000006,30,215,104,1,0.967741935483871,0.12244897959183673,0.9904761904761905,0.2173913043478261,0.11292517006802716,0.18213451623736124,0.5564625850340136,0.7
0.9400000000000006,25,220,105,0,1.0,0.10204081632653061,1.0,0.1851851851851852,0.1020408163265305,0.18156825980064073,0.5510204081632653,0.7
0.9500000000000006,20,225,105,0,1.0,0.08163265306122448,1.0,0.15094339622641506,0.08163265306122458,0.16116459280507606,0.5408163265306123,0.7
